Wife's age,Wife's education,Husband's education,Number of children ever born,Wife's religion,Wife's now working?,Husband's occupation,Standard-of-living index,Media exposure,Contraceptive method used
33,High School,Intermediate,1,Islam,No,Area 3,High,Good,No-use
20,High School,University,0,Islam,No,Area 3,Moderate,Good,No-use
36,High School,Intermediate,4,Islam,No,Area 3,Low,Not good,No-use
19,Intermediate,Intermediate,2,Islam,No,Area 3,Moderate,Good,No-use
27,Intermediate,High School,3,Islam,No,Area 3,Moderate,Good,No-use
30,Primary,High School,4,Islam,No,Area 4,Low,Good,No-use
31,Intermediate,University,3,Islam,Yes,Area 3,Moderate,Good,No-use
44,Primary,Primary,11,Islam,No,Area 4,Low,Not good,No-use
24,Intermediate,Intermediate,2,Islam,No,Area 3,Considerable,Good,No-use
18,Intermediate,University,0,Islam,Yes,Area 3,Low,Good,No-use
45,Primary,High School,6,Islam,No,Area 3,Considerable,Not good,No-use
25,High School,High School,3,Islam,Yes,Area 3,Low,Good,No-use
36,Intermediate,University,6,Islam,No,Area 2,High,Good,No-use
30,Primary,Primary,5,Islam,No,Area 2,Moderate,Good,No-use
32,High School,University,2,Islam,No,Area 3,Considerable,Good,No-use
42,Primary,University,11,Non-Islam,No,Area 2,Moderate,Not good,No-use
22,High School,University,0,Islam,No,Area 3,Considerable,Good,No-use
36,High School,University,2,Islam,Yes,Area 2,High,Good,No-use
27,High School,Intermediate,2,Islam,No,Area 3,Considerable,Good,No-use
40,Intermediate,University,1,Islam,No,Area 1,Moderate,Good,No-use
22,High School,Intermediate,2,Islam,No,Area 3,Low,Good,No-use
26,High School,University,0,Islam,No,Area 3,Low,Good,No-use
31,Intermediate,University,0,Islam,Yes,Area 2,Considerable,Good,No-use
32,University,University,1,Islam,No,Area 1,High,Good,No-use
34,High School,Intermediate,3,Islam,Yes,Area 3,Moderate,Good,No-use
40,Intermediate,Intermediate,1,Non-Islam,No,Area 3,High,Good,No-use
45,Primary,High School,1,Islam,Yes,Area 3,Considerable,Good,No-use
26,Intermediate,University,3,Islam,No,Area 3,Moderate,Good,No-use
48,Primary,Intermediate,5,Islam,No,Area 3,Moderate,Good,No-use
43,Primary,Intermediate,8,Islam,No,Area 3,Low,Good,No-use
27,Intermediate,University,2,Islam,Yes,Area 2,Moderate,Good,No-use
42,Intermediate,High School,1,Islam,No,Area 3,Considerable,Good,No-use
34,Intermediate,High School,8,Islam,Yes,,Considerable,Not good,No-use
32,Intermediate,High School,4,Islam,No,,Moderate,Not good,No-use
31,Intermediate,Intermediate,2,Islam,Yes,,Considerable,Good,No-use
22,High School,Intermediate,1,Islam,No,,Considerable,Good,No-use
,Intermediate,University,0,Islam,No,,Considerable,Good,No-use
,Primary,High School,2,Islam,No,,Moderate,Not good,No-use
,Primary,High School,0,Islam,No,,High,Good,No-use
,University,University,4,Islam,No,Area 1,High,Good,No-use
,University,University,4,Islam,Yes,Area 1,Considerable,Good,No-use
,Intermediate,Intermediate,2,Islam,No,Area 1,High,Good,No-use
45,Primary,Intermediate,1,Islam,No,Area 2,Considerable,Not good,No-use
47,Primary,University,8,Islam,No,Area 3,Considerable,Good,No-use
28,Intermediate,University,0,Islam,No,Area 3,Moderate,Good,No-use
48,Primary,Intermediate,4,Islam,No,Area 3,High,Not good,No-use
26,High School,University,1,Islam,No,Area 1,Considerable,Good,No-use
21,Intermediate,University,0,Islam,Yes,Area 3,Low,Good,No-use
20,High School,Intermediate,1,Islam,No,Area 2,High,Good,No-use
39,Primary,Primary,5,Islam,Yes,Area 3,Low,Not good,No-use
27,High School,Intermediate,1,Islam,Yes,Area 3,High,Good,No-use
37,High School,Intermediate,5,Islam,Yes,Area 3,Moderate,Good,No-use
24,University,University,1,Islam,No,Area 3,Considerable,Good,No-use
39,Intermediate,Intermediate,6,Islam,No,Area 3,Considerable,Good,No-use
20,Intermediate,Intermediate,1,Islam,No,Area 2,Considerable,Good,No-use
19,Intermediate,University,1,Islam,No,Area 2,Considerable,Good,No-use
40,Intermediate,Intermediate,4,Islam,No,Area 2,Moderate,Good,No-use
41,Primary,University,4,Islam,No,Area 3,Considerable,Good,No-use
22,University,University,2,Islam,No,Area 1,Considerable,Good,No-use
32,Intermediate,University,4,Islam,No,Area 1,High,Good,No-use
34,University,University,2,Non-Islam,No,Area 1,High,Good,No-use
34,University,University,2,Islam,Yes,Area 1,Considerable,Good,No-use
23,University,University,2,Islam,No,Area 1,High,Good,No-use
27,University,University,1,Islam,No,Area 1,Moderate,Good,No-use
46,Intermediate,High School,11,Islam,Yes,Area 2,Moderate,Not good,No-use
34,University,University,3,Non-Islam,No,Area 1,Moderate,Good,No-use
33,University,University,5,Islam,No,Area 3,Considerable,Good,No-use
25,Intermediate,Intermediate,1,Islam,No,Area 3,Moderate,Good,No-use
26,University,University,1,Islam,Yes,Area 1,High,Good,No-use
48,Primary,Intermediate,4,Islam,No,Area 3,Considerable,Not good,No-use
36,University,University,2,Islam,No,Area 3,Considerable,Good,No-use
38,Intermediate,University,2,Non-Islam,No,Area 2,High,Good,No-use
44,Primary,High School,7,Islam,No,Area 3,High,Good,No-use
44,High School,High School,1,Islam,Yes,Area 3,Moderate,Good,No-use
39,Intermediate,Intermediate,1,Non-Islam,No,Area 3,High,Good,No-use
47,Primary,High School,7,Islam,Yes,Area 3,Moderate,Good,No-use
43,Primary,Intermediate,5,Islam,Yes,Area 3,Moderate,Good,No-use
29,Intermediate,Intermediate,3,Islam,Yes,Area 2,High,Good,No-use
22,Intermediate,Intermediate,0,Islam,No,Area 2,Moderate,Good,No-use
31,High School,University,5,Islam,No,Area 3,Moderate,Good,No-use
22,University,University,0,Islam,No,Area 1,Considerable,Good,No-use
45,Intermediate,University,6,Islam,No,Area 2,High,Good,No-use
42,Intermediate,University,10,Islam,Yes,Area 3,Moderate,Good,No-use
38,Intermediate,Intermediate,7,Islam,No,Area 3,Low,Good,No-use
47,Primary,Primary,6,Islam,Yes,Area 3,Low,Good,No-use
30,University,University,2,Islam,No,Area 1,High,Good,No-use
28,Intermediate,University,1,Islam,No,Area 3,High,Good,No-use
25,Intermediate,University,1,Islam,No,Area 2,Low,Good,No-use
49,High School,University,6,Non-Islam,No,Area 2,Considerable,Good,No-use
23,Intermediate,University,2,Islam,Yes,Area 2,Considerable,Good,No-use
35,Intermediate,University,1,Non-Islam,No,Area 2,Considerable,Good,No-use
47,High School,Primary,5,Non-Islam,No,Area 2,High,Good,No-use
35,High School,Intermediate,0,Islam,No,Area 2,High,Good,No-use
44,Intermediate,University,6,Islam,No,Area 3,High,Good,No-use
48,University,University,3,Islam,No,Area 2,High,Good,No-use
43,High School,Intermediate,6,Islam,Yes,Area 3,Considerable,Good,No-use
21,High School,University,2,Islam,No,Area 3,Low,Good,No-use
22,University,University,0,Islam,No,Area 1,High,Good,No-use
41,Intermediate,Intermediate,5,Islam,No,Area 3,High,Good,No-use
29,High School,University,2,Islam,Yes,Area 4,High,Not good,No-use
44,University,University,5,Non-Islam,No,Area 2,High,Good,No-use
22,University,University,0,Islam,Yes,Area 1,High,Good,No-use
23,High School,University,4,Islam,No,Area 3,Considerable,Good,No-use
22,High School,Primary,0,Islam,No,Area 3,Moderate,Good,No-use
35,Primary,Intermediate,0,Islam,No,Area 2,Moderate,Not good,No-use
24,University,University,1,Islam,No,Area 2,Moderate,Good,No-use
36,University,University,4,Islam,No,Area 1,High,Good,No-use
47,Primary,High School,2,Islam,No,Area 2,High,Good,No-use
40,University,University,3,Islam,No,Area 3,High,Good,No-use
29,University,University,1,Islam,No,Area 1,Considerable,Good,No-use
49,Intermediate,University,6,Islam,No,Area 1,High,Good,No-use
49,Intermediate,University,9,Islam,No,Area 1,High,Good,No-use
47,University,University,2,Islam,No,Area 1,High,Good,No-use
28,University,University,3,Non-Islam,No,Area 1,High,Good,No-use
26,University,University,1,Islam,No,Area 1,High,Good,No-use
29,Primary,High School,7,Islam,No,Area 2,High,Good,No-use
29,University,High School,0,Islam,Yes,Area 2,Moderate,Good,No-use
25,Intermediate,Intermediate,1,Islam,No,Area 3,High,Good,No-use
24,High School,University,2,Islam,No,Area 3,High,Good,No-use
23,University,University,1,Islam,Yes,Area 2,High,Good,No-use
23,University,University,2,Islam,Yes,Area 3,Considerable,Good,No-use
44,Primary,High School,2,Islam,No,Area 2,High,Good,No-use
39,Intermediate,University,6,Islam,No,Area 1,High,Good,No-use
21,Intermediate,Intermediate,0,Islam,No,Area 2,Moderate,Good,No-use
22,Intermediate,University,2,Islam,No,Area 2,Considerable,Good,No-use
47,Intermediate,University,3,Islam,No,Area 2,Considerable,Good,No-use
36,Intermediate,Intermediate,2,Islam,Yes,Area 2,High,Good,No-use
25,Primary,University,2,Islam,Yes,Area 3,Considerable,Not good,No-use
40,University,University,2,Islam,No,Area 3,High,Good,No-use
36,High School,High School,0,Non-Islam,Yes,Area 3,Considerable,Good,No-use
37,High School,Intermediate,5,Non-Islam,Yes,Area 2,High,Good,No-use
28,Primary,University,2,Islam,Yes,Area 2,Considerable,Good,No-use
30,Intermediate,Intermediate,5,Islam,Yes,Area 3,High,Good,No-use
16,Intermediate,University,1,Islam,No,Area 3,Considerable,Good,No-use
32,High School,Intermediate,4,Non-Islam,No,Area 2,High,Good,No-use
40,University,University,3,Non-Islam,No,Area 3,High,Good,No-use
40,Primary,Primary,2,Islam,Yes,Area 3,High,Good,No-use
45,Intermediate,University,2,Non-Islam,No,Area 1,High,Good,No-use
21,Primary,Intermediate,0,Islam,Yes,Area 3,High,Not good,No-use
28,University,University,1,Non-Islam,No,Area 1,Considerable,Good,No-use
25,University,University,1,Non-Islam,No,Area 2,Considerable,Good,No-use
44,Primary,Intermediate,4,Islam,No,Area 3,Considerable,Not good,No-use
35,University,University,2,Non-Islam,No,Area 3,High,Good,No-use
49,University,University,4,Islam,No,Area 3,High,Good,No-use
39,Intermediate,University,1,Non-Islam,No,Area 3,High,Good,No-use
32,Intermediate,University,1,Non-Islam,No,Area 2,High,Good,No-use
35,Primary,High School,0,Islam,Yes,Area 4,High,Good,No-use
21,Primary,High School,1,Islam,Yes,Area 3,High,Good,No-use
47,University,University,1,Non-Islam,No,Area 1,High,Good,No-use
27,University,University,1,Non-Islam,No,Area 3,High,Good,No-use
31,High School,High School,8,Islam,No,Area 2,Moderate,Not good,No-use
34,University,Intermediate,0,Non-Islam,Yes,Area 3,Considerable,Good,No-use
30,University,University,3,Islam,Yes,Area 2,High,Good,No-use
25,University,University,0,Islam,Yes,Area 2,High,Good,No-use
28,Intermediate,University,3,Islam,No,Area 2,Low,Good,No-use
30,High School,Intermediate,4,Islam,Yes,Area 3,Moderate,Good,No-use
42,Intermediate,Intermediate,8,Islam,No,Area 4,Considerable,Good,No-use
23,University,University,0,Non-Islam,No,Area 2,High,Good,No-use
45,Intermediate,University,3,Non-Islam,No,Area 3,High,Good,No-use
21,University,University,1,Islam,No,Area 3,Considerable,Good,No-use
28,University,University,1,Non-Islam,No,Area 2,High,Good,No-use
33,University,University,1,Non-Islam,Yes,Area 3,High,Good,No-use
32,Primary,High School,4,Islam,No,Area 3,Moderate,Not good,No-use
25,High School,High School,3,Islam,No,Area 3,Considerable,Good,No-use
25,Intermediate,Intermediate,1,Islam,No,Area 3,Low,Good,No-use
19,High School,High School,2,Islam,No,Area 3,Low,Good,No-use
40,Primary,High School,6,Islam,No,Area 3,Low,Not good,No-use
24,High School,High School,2,Islam,No,Area 3,Low,Not good,No-use
32,High School,High School,1,Islam,No,Area 2,Low,Good,No-use
35,High School,Intermediate,8,Islam,No,Area 3,Moderate,Good,No-use
27,High School,High School,1,Islam,Yes,Area 3,Moderate,Not good,No-use
23,High School,University,2,Islam,No,Area 1,High,Good,No-use
22,High School,University,4,Islam,No,Area 3,High,Good,No-use
49,High School,Intermediate,0,Islam,No,Area 1,Moderate,Good,No-use
25,High School,Intermediate,0,Islam,No,Area 2,High,Good,No-use
18,Intermediate,University,1,Islam,No,Area 3,Low,Good,No-use
43,Intermediate,Intermediate,4,Islam,No,Area 2,High,Good,No-use
37,Primary,Intermediate,0,Islam,No,Area 3,High,Good,No-use
30,High School,Intermediate,2,Islam,Yes,Area 2,High,Good,No-use
29,Intermediate,High School,0,Islam,No,Area 2,Moderate,Good,No-use
20,High School,Intermediate,3,Islam,No,Area 3,High,Good,No-use
42,Intermediate,Intermediate,3,Islam,Yes,Area 2,High,Good,No-use
23,University,University,1,Islam,No,Area 2,Considerable,Good,No-use
34,High School,Intermediate,7,Islam,Yes,Area 3,Considerable,Good,No-use
23,Intermediate,Intermediate,6,Islam,No,Area 3,Considerable,Good,No-use
38,Intermediate,Intermediate,5,Islam,No,Area 1,High,Good,No-use
37,High School,Intermediate,4,Islam,No,Area 2,Considerable,Good,No-use
17,High School,Intermediate,1,Islam,No,Area 3,Moderate,Good,No-use
39,Intermediate,University,3,Islam,No,Area 1,High,Good,No-use
49,Primary,Intermediate,0,Islam,No,Area 3,Considerable,Not good,No-use
23,Intermediate,Intermediate,2,Islam,No,Area 2,Moderate,Good,No-use
40,Intermediate,Intermediate,3,Islam,No,Area 2,Moderate,Not good,No-use
32,High School,University,5,Islam,No,Area 2,Considerable,Good,No-use
18,High School,Intermediate,1,Islam,No,Area 2,Considerable,Good,No-use
46,Primary,High School,8,Islam,No,Area 3,Considerable,Not good,No-use
37,Intermediate,Intermediate,6,Islam,No,Area 2,Moderate,Good,No-use
38,High School,University,5,Non-Islam,No,Area 2,Moderate,Good,No-use
37,High School,Intermediate,2,Non-Islam,Yes,Area 3,Considerable,Good,No-use
25,High School,Intermediate,1,Islam,Yes,Area 2,Low,Good,No-use
38,High School,University,5,Islam,No,Area 3,Considerable,Good,No-use
39,University,University,2,Islam,Yes,Area 1,High,Good,No-use
44,University,University,3,Islam,Yes,Area 1,High,Not good,No-use
19,University,University,0,Non-Islam,No,Area 3,High,Good,No-use
28,High School,University,1,Islam,Yes,Area 3,High,Good,No-use
20,High School,Intermediate,1,Islam,No,Area 3,High,Good,No-use
33,University,University,0,Islam,Yes,Area 3,Considerable,Good,No-use
33,University,University,5,Islam,No,Area 3,High,Good,No-use
47,Primary,University,6,Islam,No,Area 1,High,Good,No-use
25,Intermediate,Intermediate,0,Islam,No,Area 3,High,Good,No-use
29,University,University,0,Islam,Yes,Area 2,High,Good,No-use
37,University,University,2,Non-Islam,No,Area 1,High,Good,No-use
49,Primary,Intermediate,6,Islam,No,Area 2,High,Good,No-use
48,Primary,Primary,8,Islam,Yes,Area 2,Moderate,Not good,No-use
19,High School,High School,0,Islam,No,Area 2,Moderate,Good,No-use
46,Primary,High School,3,Islam,No,Area 2,Low,Not good,No-use
39,Primary,High School,2,Islam,No,Area 3,Low,Not good,No-use
30,Intermediate,University,5,Islam,No,Area 1,High,Good,No-use
40,High School,High School,8,Islam,No,Area 2,Moderate,Good,No-use
43,Primary,High School,1,Islam,No,Area 3,High,Not good,No-use
29,Intermediate,University,4,Islam,Yes,Area 1,Considerable,Good,No-use
23,Intermediate,Intermediate,2,Islam,No,Area 3,Considerable,Good,No-use
24,High School,High School,3,Islam,No,Area 2,High,Good,No-use
47,Intermediate,Intermediate,,Islam,No,,High,Good,No-use
35,Intermediate,Intermediate,,Islam,Yes,,Moderate,Good,No-use
19,Intermediate,Intermediate,,Islam,No,,High,Good,No-use
45,High School,Intermediate,,Islam,Yes,,High,Good,No-use
42,High School,University,2,Islam,No,,High,Good,No-use
47,Primary,Primary,1,Islam,No,Area 3,High,Good,No-use
25,High School,High School,2,Islam,No,Area 3,Low,Good,No-use
