Age,Gender,Sleep_Hours,Phone_Checks_Per_Day,Apps_Used_Daily,Phone_Usage_Purpose,Avg_Usage_Hours,Mental_Health_Issue_Level,Productive_Hours,No_Productive_Time,Addiction_Level
17,Female,8.0,111,12,Other,5.8,4.0,0.35,1.55,3
18,Female,5.9,44,10,Education,4.266666666666667,7.333333333333333,0.9500000000000001,2.5999999999999996,3
16,Female,6.0,66,7,Gaming,4.233333333333333,7.666666666666667,2.6,2.95,3
13,Male,4.3,69,6,Education,3.7999999999999994,4.666666666666667,0.95,1.25,3
16,Other,6.8,76,13,Browsing,4.633333333333333,2.0,1.95,0.15,2
14,Male,7.1,53,15,Gaming,5.7,6.666666666666667,1.4000000000000001,2.1500000000000004,3
15,Other,8.0,68,19,Other,3.3333333333333335,6.0,0.0,2.05,3
17,Female,3.9,50,6,Education,6.599999999999999,7.0,1.0,0.8,3
13,Female,3.2,92,8,Education,4.0,4.0,0.0,2.25,2
14,Other,7.9,110,6,Education,6.133333333333333,5.666666666666667,0.5,1.6,3
13,Female,7.6,73,17,Browsing,3.366666666666667,6.333333333333333,0.9,2.2,3
16,Female,6.8,107,12,Browsing,4.966666666666666,4.0,0.8,2.55,3
15,Male,9.7,47,20,Gaming,5.133333333333333,2.0,0.8500000000000001,2.85,3
18,Other,7.5,103,10,Other,4.3,7.0,0.8,1.4500000000000002,3
19,Male,7.0,75,15,Education,5.433333333333334,4.333333333333333,1.1,1.7000000000000002,3
14,Male,8.0,87,17,Browsing,4.8,3.6666666666666665,1.2,3.2,3
14,Male,6.1,85,11,Browsing,4.133333333333333,8.0,0.8999999999999999,2.35,3
17,Male,7.0,119,15,Social Media,4.333333333333333,3.6666666666666665,1.85,2.05,3
17,Female,6.6,77,16,Social Media,5.366666666666667,5.0,0.9,0.9,3
15,Male,8.7,26,20,Education,4.1000000000000005,5.0,0.55,2.75,3
18,Male,3.1,33,20,Gaming,3.3000000000000003,6.0,0.6,2.5,3
15,Male,7.3,149,17,Other,4.5,5.333333333333333,0.8,2.35,3
15,Male,6.9,45,5,Education,4.166666666666667,7.0,0.8999999999999999,0.7,2
16,Male,5.5,27,12,Other,3.4,6.333333333333333,1.2,1.2,2
14,Other,3.4,126,5,Browsing,3.266666666666667,4.666666666666667,0.65,2.25,3
18,Male,4.6,65,15,Social Media,4.166666666666667,6.666666666666667,1.0,2.35,3
13,Female,5.5,102,15,Social Media,3.9666666666666663,6.666666666666667,0.8,2.3,3
17,Male,3.1,29,11,Social Media,2.6,9.0,0.25,1.5999999999999999,3
16,Female,5.9,143,12,Education,4.5,7.333333333333333,0.45,2.1,3
18,Other,3.4,125,5,Social Media,2.6,5.333333333333333,1.3,1.35,2
18,Female,5.1,37,6,Other,3.6,2.3333333333333335,0.75,1.2,2
14,Female,9.5,131,11,Browsing,3.333333333333334,6.0,0.75,2.95,3
15,Male,6.5,150,12,Gaming,2.3666666666666667,5.666666666666667,1.8,1.25,3
15,Female,7.2,21,9,Gaming,4.8999999999999995,5.666666666666667,2.3,1.65,2
13,Male,5.6,74,9,Education,2.8333333333333335,5.0,1.25,2.85,3
19,Male,5.6,66,12,Education,4.333333333333333,8.333333333333334,0.5,2.75,3
14,Other,9.2,104,12,Social Media,5.566666666666667,5.666666666666667,0.9,2.2,3
14,Male,6.0,92,12,Other,3.266666666666667,5.333333333333333,1.9,1.85,3
13,Male,6.2,64,20,Other,4.833333333333333,5.666666666666667,1.25,2.9,3
18,Other,7.2,74,12,Gaming,4.333333333333333,5.333333333333333,1.85,2.1,3
17,Female,4.3,72,10,Social Media,3.133333333333333,8.0,1.4000000000000001,2.1,2
18,Male,5.3,124,17,Browsing,4.1000000000000005,8.0,0.25,2.0,3
19,Other,7.4,98,10,Other,4.8999999999999995,5.0,1.05,2.9,3
19,Female,4.9,141,6,Gaming,4.433333333333334,5.666666666666667,0.7,2.8,3
16,Female,5.9,64,11,Gaming,3.366666666666667,2.0,1.0,2.3,3
18,Male,5.1,80,11,Gaming,3.9333333333333336,7.0,0.0,2.25,3
17,Male,7.3,135,13,Other,4.166666666666667,5.666666666666667,1.1,2.55,3
19,Other,4.6,37,10,Education,4.466666666666666,8.0,0.35,2.05,3
19,Female,7.3,28,15,Gaming,4.433333333333334,7.333333333333333,0.6499999999999999,2.6,3
18,Other,3.1,80,16,Social Media,3.9333333333333336,6.0,1.95,1.75,3
17,Other,6.8,61,6,Other,3.3666666666666667,5.333333333333333,0.7999999999999999,1.6,1
14,Other,6.9,126,10,Gaming,4.333333333333333,7.333333333333333,0.3,2.05,3
17,Male,7.7,86,11,Browsing,4.566666666666667,5.333333333333333,0.5,2.05,3
16,Female,5.8,144,10,Social Media,4.3,4.666666666666667,1.5499999999999998,1.15,3
19,Male,8.9,34,17,Browsing,3.8333333333333335,4.0,1.45,3.2,3
18,Female,7.7,37,19,Browsing,3.1666666666666665,7.666666666666667,1.35,1.85,2
15,Male,5.2,81,14,Social Media,3.1,7.333333333333333,1.5499999999999998,2.85,3
16,Male,7.1,57,7,Other,3.3666666666666667,4.0,1.7,3.15,3
13,Male,6.2,93,5,Browsing,4.066666666666666,5.333333333333333,0.25,1.5,2
19,Male,7.1,31,7,Gaming,2.3333333333333335,7.666666666666667,0.25,1.25,1
15,Other,5.4,75,6,Education,3.1,3.3333333333333335,0.85,2.1500000000000004,2
19,Other,4.7,113,14,Browsing,4.533333333333333,8.666666666666666,1.2000000000000002,3.2,3
16,Female,7.3,143,20,Social Media,4.633333333333333,7.0,0.55,3.0,3
17,Female,7.5,80,20,Other,3.6333333333333333,2.6666666666666665,0.8,1.45,3
19,Male,5.9,111,5,Social Media,4.2,5.0,0.2,2.8,3
16,Female,5.6,116,14,Social Media,5.966666666666666,5.333333333333333,0.8,1.8,3
14,Other,4.2,71,12,Social Media,3.266666666666667,5.666666666666667,0.35,1.75,2
17,Other,3.8,73,7,Gaming,3.3000000000000003,7.666666666666667,0.2,2.25,3
16,Female,6.1,48,9,Other,4.366666666666667,2.6666666666666665,0.9,2.1,2
18,Other,7.6,129,20,Social Media,4.766666666666667,2.6666666666666665,1.2,0.8500000000000001,3
14,Female,3.8,39,10,Browsing,4.366666666666667,4.0,1.6,0.2,2
19,Other,6.2,22,10,Gaming,4.7,3.3333333333333335,1.15,0.85,2
17,Male,7.3,144,11,Browsing,3.6,7.666666666666667,2.05,1.15,3
14,Male,3.6,145,13,Gaming,4.066666666666666,2.6666666666666665,0.4,2.4,3
19,Male,6.1,113,14,Other,2.9333333333333336,6.0,1.0,1.8,3
16,Male,7.3,39,16,Social Media,3.466666666666667,6.666666666666667,0.6000000000000001,2.75,3
19,Female,6.4,27,7,Social Media,5.466666666666666,4.666666666666667,0.95,2.3,3
16,Female,7.4,107,6,Other,3.1,4.0,1.0,2.05,3
18,Other,4.4,51,20,Other,2.6999999999999997,7.666666666666667,1.1,1.3,3
13,Other,10.0,88,17,Other,5.0,5.666666666666667,1.1,2.6,3
16,Female,7.0,24,15,Gaming,2.9333333333333336,4.0,0.95,1.4500000000000002,3
19,Male,7.3,51,17,Education,2.6999999999999997,5.0,1.1,2.75,2
18,Other,5.3,119,8,Social Media,3.2000000000000006,5.0,0.8,2.35,3
19,Female,5.7,46,16,Gaming,2.733333333333333,5.0,0.45,2.6500000000000004,3
13,Other,6.6,53,7,Education,4.3999999999999995,4.666666666666667,1.15,1.0,2
14,Other,6.0,137,5,Browsing,4.8999999999999995,5.666666666666667,1.0,1.4500000000000002,3
16,Male,7.8,36,14,Browsing,4.733333333333333,5.0,0.3,1.85,2
18,Other,7.0,110,20,Browsing,1.9666666666666668,6.666666666666667,0.85,0.35,2
15,Other,4.3,92,19,Gaming,1.2666666666666668,5.333333333333333,0.15,2.75,3
19,Other,5.7,143,6,Social Media,3.766666666666667,5.0,0.2,2.35,3
16,Male,5.3,141,14,Gaming,2.9,4.666666666666667,0.0,1.9500000000000002,3
18,Female,7.6,70,13,Social Media,3.733333333333333,4.333333333333333,0.95,1.45,2
16,Female,5.6,128,5,Browsing,4.833333333333333,6.333333333333333,1.45,2.45,3
17,Male,6.1,27,14,Gaming,2.8000000000000003,3.3333333333333335,1.4,1.7,2
16,Male,7.1,51,14,Browsing,5.033333333333334,4.0,1.0,1.2999999999999998,3
18,Female,8.5,134,15,Education,3.6666666666666665,4.333333333333333,0.6,2.6999999999999997,3
14,Male,7.6,105,11,Education,4.633333333333333,5.0,1.8,2.4,3
17,Other,6.4,145,9,Browsing,4.3,3.3333333333333335,1.15,1.6,3
14,Female,7.3,106,11,Social Media,3.2999999999999994,7.0,0.7999999999999999,1.05,2
15,Other,5.7,81,10,Education,2.733333333333334,5.333333333333333,1.2,1.65,1
17,Other,8.3,137,13,Social Media,3.1666666666666665,4.333333333333333,0.95,2.75,3
19,Male,8.6,33,8,Other,5.033333333333334,6.333333333333333,1.7000000000000002,1.5,2
18,Female,4.4,99,6,Other,3.5,5.0,1.3,2.3,3
13,Other,7.2,140,8,Browsing,3.9,5.666666666666667,0.3,1.6,3
15,Female,8.8,102,9,Gaming,6.033333333333334,7.666666666666667,0.35,2.85,3
17,Other,7.3,89,7,Education,4.566666666666666,3.3333333333333335,1.7,3.55,3
15,Female,6.4,146,8,Other,4.866666666666666,6.0,0.8,1.9500000000000002,3
15,Other,8.5,74,7,Education,3.1333333333333333,6.666666666666667,0.35,1.6,2
19,Other,6.9,108,19,Social Media,4.133333333333334,6.666666666666667,0.2,2.05,3
18,Male,4.1,119,17,Browsing,5.466666666666666,7.666666666666667,1.4,2.3,3
17,Male,6.1,94,19,Education,3.8000000000000007,2.6666666666666665,1.2999999999999998,1.0,3
15,Male,7.9,65,13,Other,2.0666666666666664,5.333333333333333,1.35,2.5,2
13,Male,5.0,84,12,Gaming,4.566666666666666,4.333333333333333,1.05,1.3,3
19,Male,3.6,32,7,Education,4.766666666666667,6.666666666666667,1.1,1.65,3
14,Female,7.7,118,20,Other,4.766666666666667,5.333333333333333,0.85,2.4,3
14,Female,8.4,116,15,Social Media,3.1999999999999997,6.333333333333333,1.35,1.85,3
14,Other,7.4,76,8,Education,6.6000000000000005,6.333333333333333,0.55,2.3,3
18,Female,9.1,36,7,Other,6.1000000000000005,8.0,2.65,2.45,3
17,Female,5.8,38,14,Other,4.033333333333333,6.666666666666667,0.9,2.3000000000000003,3
15,Female,6.0,120,9,Browsing,4.166666666666667,4.0,0.8,1.9,3
14,Female,5.8,130,17,Browsing,4.3999999999999995,2.0,1.25,2.1,3
13,Male,8.4,140,16,Gaming,4.766666666666667,5.0,1.0,2.95,3
13,Other,7.1,106,10,Education,3.3000000000000003,5.333333333333333,1.1,1.25,2
15,Male,7.5,138,11,Education,5.6000000000000005,7.0,1.3,3.15,3
18,Male,7.0,109,13,Gaming,3.6333333333333333,7.666666666666667,0.65,1.15,3
18,Male,6.2,90,14,Browsing,3.8333333333333335,7.0,0.8500000000000001,0.75,2
18,Other,5.0,31,11,Education,4.166666666666667,8.333333333333334,0.44999999999999996,2.0,3
19,Other,8.0,81,19,Education,5.6000000000000005,4.0,1.0,1.65,3
14,Male,7.9,39,15,Education,3.733333333333333,5.666666666666667,0.85,2.6,3
18,Female,6.1,87,20,Other,2.466666666666667,6.666666666666667,1.25,2.5,3
17,Male,6.6,148,16,Other,5.466666666666666,2.6666666666666665,2.05,3.05,3
14,Female,8.6,38,8,Education,3.3000000000000003,2.6666666666666665,0.4,1.9000000000000001,2
17,Female,7.2,21,7,Education,5.400000000000001,3.3333333333333335,1.1,1.9500000000000002,3
13,Female,6.6,104,12,Gaming,4.1000000000000005,6.0,0.8,1.5999999999999999,2
18,Male,7.5,87,16,Other,3.866666666666667,6.333333333333333,1.55,3.1,3
18,Male,4.4,42,10,Browsing,4.3,3.6666666666666665,0.45,1.7999999999999998,3
16,Female,9.0,148,20,Education,3.5,7.0,1.25,1.35,3
17,Male,9.3,119,13,Browsing,5.2,7.0,0.75,1.9500000000000002,3
16,Male,5.9,91,6,Browsing,3.6333333333333333,7.0,1.4,3.25,3
14,Other,5.7,60,14,Browsing,3.3000000000000003,5.0,0.95,0.75,2
13,Male,4.9,128,15,Browsing,3.733333333333333,2.6666666666666665,0.4,1.9,3
15,Other,6.1,132,9,Browsing,5.666666666666667,5.0,0.7,2.0999999999999996,3
18,Female,7.4,49,12,Other,3.766666666666667,6.333333333333333,1.3,0.65,2
14,Female,5.3,79,11,Gaming,3.366666666666667,5.333333333333333,0.8999999999999999,1.4,3
13,Other,6.0,62,17,Education,2.0,5.333333333333333,0.95,1.45,2
17,Female,8.0,133,17,Gaming,3.3666666666666667,5.333333333333333,1.3,1.9500000000000002,3
15,Female,5.2,58,16,Education,5.133333333333333,7.333333333333333,1.15,2.0,3
17,Male,5.2,85,17,Social Media,4.8,3.6666666666666665,1.0,0.9,3
19,Male,5.2,136,11,Browsing,4.466666666666666,2.6666666666666665,1.15,1.8499999999999999,3
14,Male,5.3,131,19,Other,4.633333333333334,5.666666666666667,1.85,1.75,3
18,Female,7.2,35,13,Education,4.0,7.0,1.05,2.5,3
18,Male,5.0,30,15,Gaming,4.933333333333333,3.3333333333333335,0.8500000000000001,2.55,3
15,Female,7.4,35,19,Social Media,2.7000000000000006,5.333333333333333,1.15,3.4,3
15,Other,4.5,116,12,Social Media,1.9000000000000001,4.333333333333333,0.7,1.7000000000000002,3
13,Male,7.0,35,11,Browsing,4.0,6.0,0.6499999999999999,1.9000000000000001,2
17,Female,6.2,118,15,Social Media,3.6999999999999997,9.0,1.15,2.15,3
17,Other,8.4,67,6,Gaming,4.666666666666667,4.666666666666667,0.2,2.35,3
16,Male,6.6,123,16,Social Media,4.066666666666666,5.333333333333333,0.6499999999999999,2.55,3
14,Male,5.2,144,16,Social Media,2.233333333333333,4.666666666666667,1.5499999999999998,2.25,3
14,Male,6.4,62,18,Education,3.9666666666666663,4.0,0.15000000000000002,2.0,3
15,Female,8.5,73,8,Social Media,2.3333333333333335,8.333333333333334,0.9,1.65,2
14,Female,7.0,107,9,Education,4.8,6.0,0.95,1.7,3
17,Female,5.8,54,13,Browsing,3.6,4.0,0.9,1.6,3
18,Male,5.9,23,10,Education,2.6999999999999997,8.0,0.25,1.9000000000000001,2
14,Other,7.6,59,18,Browsing,3.3333333333333335,5.333333333333333,1.7,2.2,3
19,Male,7.7,104,10,Browsing,4.733333333333333,5.666666666666667,0.7,1.75,2
13,Female,6.4,38,17,Browsing,4.6000000000000005,5.333333333333333,1.0,1.05,3
17,Female,7.5,49,19,Browsing,2.966666666666667,4.666666666666667,0.7,1.85,2
17,Female,6.2,142,5,Social Media,3.866666666666667,6.333333333333333,0.45,1.65,2
14,Female,6.4,124,12,Gaming,5.0,6.666666666666667,0.75,1.2,3
16,Male,5.0,53,10,Education,4.333333333333333,7.333333333333333,0.25,1.7999999999999998,3
14,Male,3.9,41,7,Social Media,3.1,5.0,0.95,2.5,2
18,Female,7.0,84,20,Other,3.0,3.0,0.7,1.85,3
14,Other,5.5,37,10,Gaming,5.566666666666666,4.333333333333333,0.45,1.2,3
15,Male,5.6,39,9,Education,3.5666666666666664,8.666666666666666,1.0999999999999999,1.0,3
13,Other,6.1,87,19,Browsing,3.5666666666666664,6.333333333333333,0.65,1.1,2
18,Female,7.4,125,6,Education,4.166666666666667,5.0,1.15,2.2,3
16,Female,5.1,142,16,Other,3.733333333333333,8.0,0.65,2.5,3
15,Other,8.3,60,5,Other,4.833333333333333,5.666666666666667,0.39999999999999997,2.85,3
19,Female,4.8,45,11,Other,4.5,4.0,0.9500000000000001,1.7000000000000002,3
13,Male,5.8,68,6,Education,3.1666666666666665,3.0,0.8,1.7999999999999998,2
17,Female,10.0,99,17,Other,5.066666666666666,3.6666666666666665,1.9000000000000001,1.1,3
14,Male,6.8,97,12,Other,5.3999999999999995,2.6666666666666665,0.6,1.6,3
14,Female,9.1,83,16,Gaming,3.1999999999999997,6.333333333333333,0.9,1.75,3
13,Male,7.1,125,11,Browsing,3.233333333333333,5.666666666666667,1.15,2.15,3
19,Female,6.7,43,8,Social Media,4.333333333333333,5.333333333333333,1.55,2.4,3
17,Female,5.1,66,19,Social Media,3.0666666666666664,3.6666666666666665,0.9500000000000001,1.7000000000000002,3
18,Female,10.0,96,9,Education,3.0,3.3333333333333335,1.45,2.15,3
14,Male,6.4,53,18,Browsing,5.3,5.666666666666667,0.75,2.95,3
15,Female,7.3,74,8,Education,4.3,6.666666666666667,1.25,1.75,3
17,Other,5.5,120,16,Browsing,5.2,4.0,1.1,3.2,3
16,Other,8.0,128,5,Other,2.4,5.666666666666667,1.15,0.85,1
19,Other,6.6,134,17,Education,4.133333333333334,7.333333333333333,1.7000000000000002,1.85,3
16,Male,6.2,46,12,Social Media,3.266666666666667,6.666666666666667,0.5,2.6500000000000004,3
17,Other,7.2,145,10,Gaming,4.066666666666666,4.666666666666667,0.8,1.6,3
13,Male,7.1,81,18,Browsing,2.1333333333333333,5.333333333333333,1.5,1.5499999999999998,2
16,Female,6.4,149,18,Social Media,3.8333333333333335,6.666666666666667,0.65,1.25,3
19,Other,8.9,57,12,Other,4.7,7.0,0.30000000000000004,1.85,2
13,Female,4.0,51,17,Education,5.566666666666666,6.666666666666667,0.7,1.3,3
14,Male,7.4,29,9,Social Media,4.066666666666666,7.666666666666667,0.6499999999999999,0.4,1
17,Other,5.0,51,19,Other,5.400000000000001,5.333333333333333,1.9500000000000002,2.15,3
19,Male,7.9,143,17,Education,5.8,6.333333333333333,0.7,3.1,3
14,Female,5.1,117,7,Social Media,4.5,2.6666666666666665,0.95,2.95,3
13,Female,7.9,47,14,Browsing,4.833333333333333,6.0,1.9,2.45,3
18,Female,8.2,141,5,Education,4.633333333333334,3.6666666666666665,0.25,3.5,3
15,Female,5.9,113,16,Other,4.833333333333333,4.333333333333333,0.9,2.2,3
19,Other,5.4,136,8,Gaming,1.7333333333333334,7.333333333333333,1.0,2.25,2
15,Other,7.0,34,10,Browsing,4.2,4.0,0.3,2.7,3
15,Male,5.5,51,10,Other,2.9,4.0,0.65,1.55,2
17,Other,5.0,66,15,Gaming,6.033333333333334,4.333333333333333,0.2,2.15,3
13,Female,6.1,106,17,Gaming,3.8000000000000007,5.333333333333333,1.15,1.1,3
17,Other,6.7,144,12,Gaming,3.6,5.0,1.3,2.3499999999999996,3
17,Male,4.4,46,13,Other,4.666666666666667,7.666666666666667,1.55,2.1,3
15,Female,6.4,33,9,Social Media,5.1000000000000005,5.666666666666667,1.3,2.35,3
19,Male,7.1,22,6,Gaming,4.866666666666666,6.333333333333333,1.4,2.1,3
13,Female,6.2,24,16,Browsing,5.433333333333334,7.0,1.15,2.35,3
16,Male,6.0,108,18,Gaming,4.033333333333333,7.0,0.05,1.0499999999999998,3
19,Male,5.2,61,12,Education,4.8,7.0,0.65,2.25,3
19,Other,7.0,27,17,Social Media,4.233333333333333,6.666666666666667,1.45,1.2,3
14,Male,8.0,77,6,Browsing,4.8999999999999995,10.0,1.15,1.9000000000000001,3
14,Female,5.3,80,14,Gaming,5.033333333333334,6.666666666666667,1.3,3.8000000000000003,3
19,Other,4.3,73,15,Other,5.366666666666667,8.666666666666666,0.95,3.3,3
14,Other,3.4,86,20,Browsing,3.866666666666667,6.0,0.9,0.5,3
19,Male,5.3,37,18,Browsing,4.0,2.6666666666666665,0.95,1.25,3
19,Other,6.6,27,9,Social Media,3.8666666666666667,5.0,1.2,2.0,2
13,Other,8.4,140,17,Gaming,2.5,5.333333333333333,2.0,1.4,2
15,Male,5.2,20,13,Education,3.9,3.0,0.9,1.9,3
18,Male,8.0,98,6,Other,2.2333333333333334,7.333333333333333,1.0,2.45,2
15,Male,3.4,55,12,Gaming,3.9,4.0,2.05,2.6,3
15,Other,7.4,113,18,Education,3.966666666666667,6.666666666666667,0.8,1.45,3
16,Male,5.7,83,7,Other,5.266666666666667,7.333333333333333,0.8500000000000001,2.25,3
16,Female,8.1,150,14,Education,4.466666666666666,4.333333333333333,1.15,1.9,3
16,Male,6.6,24,19,Other,4.8999999999999995,4.666666666666667,0.4,1.2,3
13,Other,9.5,84,9,Gaming,5.866666666666667,6.333333333333333,0.85,2.1,3
15,Male,7.4,31,5,Browsing,4.5,6.333333333333333,1.4,3.3,3
14,Other,5.6,125,13,Other,4.7,5.666666666666667,1.1500000000000001,1.8499999999999999,3
18,Female,7.3,109,18,Gaming,5.933333333333334,6.0,0.6,1.4,3
18,Other,5.4,147,11,Browsing,3.733333333333334,6.333333333333333,0.9,2.05,3
14,Other,7.9,68,8,Social Media,2.2666666666666666,7.333333333333333,1.25,0.8500000000000001,1
17,Other,6.0,125,7,Other,3.9333333333333336,5.333333333333333,1.45,1.5999999999999999,2
13,Female,5.6,77,10,Social Media,3.6666666666666665,8.0,0.9,3.55,3
13,Male,7.0,150,9,Social Media,5.8999999999999995,4.0,0.8,2.4499999999999997,3
14,Male,5.7,32,17,Social Media,3.733333333333333,4.333333333333333,1.6,0.8,2
16,Other,5.9,76,13,Browsing,6.866666666666667,7.333333333333333,1.15,2.1,3
16,Male,9.9,43,17,Education,5.3999999999999995,9.666666666666666,0.45,1.95,3
19,Female,7.2,150,16,Other,3.233333333333333,6.333333333333333,0.7,1.15,3
18,Other,5.8,121,13,Other,2.5666666666666664,6.333333333333333,1.05,1.55,3
16,Female,6.1,85,5,Education,4.066666666666666,4.333333333333333,1.35,2.15,3
18,Other,7.3,72,13,Education,2.8000000000000003,7.666666666666667,1.35,2.0,2
